Index,KOD_FASILITI,STATUS,SEKTOR,SUBSEKTOR,PROGRAM_GROUP,NEGERI,DAERAH,KATEGORI_FASILITI,JENIS_FASILITI,NAMA,ALAMAT,BANDAR,POSKOD,DAERAH_PENTADBIRAN,TELEFON,EMEL,URBAN_RURAL,LATITUD,LONGITUD
4189,91-03070283,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,PEJABAT KESIHATAN PERGIGIAN,PEJABAT KESIHATAN PERGIGIAN DAERAH,PEJABAT KESIHATAN PERGIGIAN DAERAH PASIR MAS,"D/A KLINIK PERGIGIAN PASIR MAS, JALAN LATI, 17000 PASIR MAS, KELANTAN",,17000,,,,,6.014241,102.1195
4190,21-03070294,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE),KLINIK PERGIGIAN PASIR MAS,"JALAN LATI, 17000 PASIR MAS, KELANTAN",,17000,,,,,6.004955,102.1334
4191,21-03070076D,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN TO'UBAN,"JALAN CHE TOK - TOK UBAN, 17060 PASIR MAS, KELANTAN",,17060,,,,,5.965208,102.1444
4192,21-03070075D,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN TENDONG,"17030 TENDONG, PASIR MAS, KELANTAN",,17030,,,,,6.069929,102.2073
4193,21-03070071D,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN RANTAU PANJANG,"GUAL TINGGI, 17200 RANTAU PANJANG, KELANTAN",,17200,,,,,6.001825,102.0031
4194,21-03070064D,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN MERANTI,"JALAN BONGGOL CHE WAN, MERANTI, 17000 PASIR MAS, KELANTAN",,17000,,,,,6.096353,102.1022
4195,21-03070054D,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN KANGKONG,"JALAN PASIR MAS, TANAH MERAH, 17000 PASIR MAS, KELANTAN",,17000,,,,,5.994731,102.188
4196,21-03070044D,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN CHEKOK,"CHEKOK, 17000 PASIR MAS, KELANTAN",,17000,,,,,5.918899,102.1876
4197,21-03070035D,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN BANDAR PASIR MAS,"BANDAR PASIR MAS, 17000 PASIR MAS, KELANTAN",,17000,,,,,6.045211,102.1404
4198,21-03070425,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN GUAL TINGGI,"KG. GUAL TINGGI, RANTAU PANJANG, 17200 RANTAU PANJANG, KELANTAN",,17200,,,,,6.003219,101.9978
4199,21-03070422,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN TO' UBAN,"TO' UBAN, 17050 PASIR MAS, KELANTAN",,17050,,,,,6.047494,102.1393
4200,21-03070417,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SRI KIAMBANG,"KAMPUNG REPEK, 17070 PASIR MAS, KELANTAN",,17070,,,,,6.024421,102.0921
4201,21-03070415,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN OTHMAN TALIB (1),"TENDONG, 17030 PASIR MAS, KELANTAN",,17030,,,,,6.068012,102.2094
4202,21-03070414,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN KEDAI TANJONG,"JLN. RANTAU PANJANG LAMA, KG.POHON TANJONG, 17000 PASIR MAS, KELANTAN",,17000,,,,,6.069636,102.0773
4203,21-03070409,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN CHETOK,"KG. CHEKOK, CHETOK, 17060 PASIR MAS, KELANTAN",,17060,,,,,5.926241,102.1906
4204,21-03070400,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN MERANTI,"17010 PASIR MAS, KELANTAN",,17010,,,,,6.09581,102.1055
4205,21-03070444,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A KOLEJ VOKASIONAL PASIR MAS,"JALAN TENDONG, BUNUT SUSU, 17020 PASIR MAS, KELANTAN",,17020,,,,,6.055943,102.2135
4206,21-03070440,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN BUNUT SUSU,"KG. BUNUT SUSU, 17020 PASIR MAS, KELANTAN",,17020,,,,,6.101209,102.1828
4207,91-03080287,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,PEJABAT KESIHATAN PERGIGIAN,PEJABAT KESIHATAN PERGIGIAN DAERAH,PEJABAT KESIHATAN PERGIGIAN DAERAH PASIR PUTEH,"D/A KLINIK PERGIGIAN DI KLINIK KESIHATAN PASIR PUTEH, 16800 PASIR PUTEH, KELANTAN",,16800,,,,,5.837563,102.4025
4208,21-03080280D,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN PASIR PUTEH,"16800 PASIR PUTEH, KELANTAN",,16800,,,,,5.837563,102.4025
4209,21-03080072D,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN SELISING,"16810 SELISING, PASIR PUTEH, KELANTAN",,16810,,,,,5.896835,102.3325
4210,21-03080052D,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN JERAM,"16800 PASIR PUTEH, KELANTAN",,16800,,,,,5.799847,102.3718
4211,21-03080048D,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN GAAL,"16800 PASIR PUTEH, KELANTAN",,16800,,,,,5.78899,102.4168
4212,21-03080045D,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN CHERANG RUKU,"16700 CHERANG RUKU, PASIR PUTEH, KELANTAN",,16700,,,,,5.867658,102.4865
4213,21-03080408,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN CHERANG RUKU,"KG CHERANG RUKU, 16700 SEMERAK, KELANTAN",,16700,,,,,5.862232,102.4904
4214,21-03080407,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN BUKIT JAWA,"SELISING, PASIR PUTEH, 16810 PASIR PUTEH, KELANTAN",,16810,,,,,5.894383,102.3256
4215,21-03080398,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN GAAL,"JALAN JERTEH, 16800 PASIR PUTEH , KELANTAN",,16800,,,,,5.805179,102.4178
4216,21-03080388,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN KAMIL (1),"JALAN SEKOLAH MENENGAH KAMIL, 16800 PASIR PUTEH , KELANTAN",,16800,,,,,5.841854,102.3962
4217,21-03080441,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN CHERANG RUKU,"CHERANG RUKU, 16700 SEMERAK, KELANTAN",,16700,,,,,5.862232,102.4904
4218,21-03080439,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN TOK JANGGUT,"JALAN PASIR PUTEH - KOTA BHARU, 16800 PASIR PUTEH, KELANTAN",,16800,,,,,5.834196,102.3884
4219,21-03080429,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN SRI MAHARAJA,"BUKIT ABAL, 16810 SELISING, PASIR PUTEH, KELANTAN",,16810,,,,,5.866588,102.337
4220,21-03080394,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH SAINS PASIR PUTEH,"JALAN JERAM PASU, 16800 PASIR PUTEH, KELANTAN",,16800,,,,,5.836831,102.3556
4221,21-03080393,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN BUKIT JAWA,"SELISING, PASIR PUTEH, 16810 SELISING, PASIR PUTEH, KELANTAN",,16810,,,,,5.894383,102.3256
4222,91-03090284,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,PEJABAT KESIHATAN PERGIGIAN,PEJABAT KESIHATAN PERGIGIAN DAERAH,PEJABAT KESIHATAN PERGIGIAN DAERAH TANAH MERAH,"JALAN PASIR MAS-TANAH MERAH, 17500 TANAH MERAH, KELANTAN",,17500,,,,,5.809477,102.153
4223,21-03090470,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE),KLINIK PERGIGIAN TANAH MERAH,"PT 424, JALAN PECHONG, 17500 TANAH MERAH, KELANTA",,17500,,,,,5.808411,102.1498
4224,21-03090095D,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN BELIMBING,"JALAN TANAH MERAH-PASIR MAS, 17500 TANAH MERAH, KELANTAN",,17500,,,,,5.864159,102.1689
4225,21-03090056D,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN KEMAHANG,"17510 TANAH MERAH, KELANTAN",,17510,,,,,5.854981,102.0056
4226,21-03090050D,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN GUAL IPOH,"17500 TANAH MERAH, KELANTAN",,17500,,,,,5.743585,102.0512
4227,21-03090038D,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN BATU GAJAH,"17510 TANAH MERAH, KELANTAN",,17510,,,,,5.810862,101.9823
4228,11-03090018D,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI HOSPITAL,KLINIK PERGIGIAN DI HOSPITAL TANAH MERAH,"17500 TANAH MERAH, KELANTAN",,17500,,,,,5.810027,102.1525
4229,21-03090448,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SRI SURIA (2),"JALAN KLINIK, 17500 TANAH MERAH, KELANTAN",,17500,,,,,5.803775,102.1439
4230,21-03090420,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN TANAH MERAH (1),"KM 1, JALAN MACHANG, 17500 TANAH MERAH, KELANTAN",,17500,,,,,5.802536,102.147
4231,21-03090431,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN IPOH,"KM 20, JALAN GUAL IPOH, KG. GUAL IPOH, 17500 TANAH MERAH, KELANTAN",,17500,,,,,5.747146,102.0528
4232,21-03090376,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN TAN SRI MOHAMED YAACOB,"KM 21, JALAN JEDOK, KG. BATU GAJAH, 17510 TANAH MERAH, KELANTAN",,17510,,,,,5.815096,101.9801
4233,21-03090375,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN TANAH MERAH (1),"JALAN ISMAIL PETRA, 17500 TANAH MERAH, KELANTAN",,17500,,,,,5.811006,102.1352
4236,91-03100289,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,PEJABAT KESIHATAN PERGIGIAN,PEJABAT KESIHATAN PERGIGIAN DAERAH,PEJABAT KESIHATAN PERGIGIAN DAERAH TUMPAT,"D/A KLINIK PERGIGIAN TUMPAT, 16200 TUMPAT, KELANTAN",,16200,,,,,6.19368,102.1706
4237,21-03100464,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE),KLINIK PERGIGIAN TUMPAT,"16200 TUMPAT, KELANTAN",,16200,,,,,6.193737,102.1704
4238,21-03100318D,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN PASIR PEKAN,"16250 PASIR PEKAN, KELANTAN",,16250,,,,,6.120768,102.2179
4239,21-03100077D,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN WAKAF BHARU,"16250 WAKAF BHARU, TUMPAT, KELANTAN",,16250,,,,,6.122633,102.2029
4240,21-03100073D,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN SUNGAI PINANG,"SUNGAI PINANG, PALEKBANG, 16200 TUMPAT, KELANTAN",,16200,,,,,6.144721,102.223
4241,21-03100068D,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN PENGKALAN KUBOR,"JALAN PENGKALAN KUBOR, 16280 TUMPAT, KELANTAN",,16280,,,,,6.215489,102.1113
4242,21-03100042D,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN BUNOHAN,"16200 TUMPAT, KELANTAN",,16200,,,,,6.182101,102.1165
4243,21-03100036D,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN BANDAR TUMPAT,"BANDAR TUMPAT, 16200 TUMPAT, KELANTAN",,16200,,,,,6.190189,102.1687
4244,21-03100423,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN GETING (1),"DEPAN PASAR GETING, 16200 TUMPAT, KELANTAN",,16200,,,,,6.21794,102.1156
4245,21-03100418,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN TUMPAT (1),"KG DALAM RHU, 16200 TUMPAT, KELANTAN",,16200,,,,,6.192236,102.1617
4246,21-03100401,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN PASIR PEKAN,"JALAN PASIR PEKAN, 16250 WAKAF BHARU, TUMPAT, KELANTAN",,16250,,,,,6.118362,102.2205
4247,21-03100434,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN CHABANG EMPAT,"KG. CHABANG 4, 16210 TUMPAT, KELANTAN",,16210,,,,,6.158587,102.1533
4248,21-03100396,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN MAHMUD MAHYIDIN,"PASIR PEKAN, 16250 WAKAF BHARU, TUMPAT, KELANTAN",,16250,,,,,6.116785,102.2152
4249,21-03100395,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN KAMPONG LAUT,"KG LAUT, 16040 PALEKBANG, TUMPAT, KELANTAN",,16040,,,,,6.161137,102.2327
4250,21-03100392,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAN WAKAF BHARU,"16250 WAKAF BHARU TUMPAT, KELANTAN",,16250,,,,,6.117141,102.1961
4251,21-03100452,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH (PUSAT PERGIGIAN SEKOLAH),PUSAT PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN PENGKALAN KUBOR (1),"PENGKALAN KUBOR, 16080 PENGKALAN KUBUR, TUMPAT, KELANTAN",,16080,,,,,6.229642,102.0962
4252,91-04010105,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,PEJABAT KESIHATAN PERGIGIAN,PEJABAT KESIHATAN PERGIGIAN DAERAH,PEJABAT KESIHATAN PERGIGIAN DAERAH ALOR GAJAH,"JALAN HOSPITAL LAMA, 78000 ALOR GAJAH, MELAKA",,78000,,,,,2.381292,102.2077
4253,21-04010107,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN (STANDALONE),KLINIK PERGIGIAN ALOR GAJAH,"JALAN HOSPITAL, 78000 MELAKA",,78000,,,,,2.381651,102.2075
4254,21-04010266D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN REMBIA,"78000 ALOR GAJAH, MELAKA",,78000,,,,,2.325743,102.208
4255,21-04010029D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN SIMPANG AMPAT,"78000 ALOR GAJAH, MELAKA",,78000,,,,,2.43622,102.1786
4256,21-04010026D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN PADANG SEBANG,"78000 ALOR GAJAH, MELAKA",,78000,,,,,2.426146,102.2492
4257,21-04010024D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN MASJID TANAH,"POLIKLINIK KOMUNITI, JALAN BESAR MASJID TANAH, 78300 MELAKA",,78300,,,,,2.355996,102.1008
4258,21-04010023D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN MACAP BARU,"76100 DURIAN TUNGGAL, ALOR GAJAH, MELAKA",,76100,,,,,2.377078,102.3381
4259,21-04010022D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN LUBOK CINA,"78300 MASJID TANAH, MELAKA",,78100,,,,,2.355996,102.1008
4260,21-04010021D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN KUALA SG BARU,"78200 MASJID TANAH, MELAKA",,78200,,,,,2.363813,102.0344
4261,21-04010015D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN HUTAN PERCHA,"78000 ALOR GAJAH, MELAKA",,78000,,,,,2.442765,102.3009
4262,21-04010014D,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN,KLINIK PERGIGIAN DI KLINIK KESIHATAN DURIAN TUNGGAL,"POLIKLINIK KOMUNITI DURIAN TUNGGAL, 76100 DURIAN TUNGGAL, MELAKA",,76100,,,,,2.31083,102.286
4263,21-04010245,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,"MASJID TANAH, 78300 MASJID TANAH, MELAKA",,78300,,,,,2.346716,102.1063
4264,21-04010240,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN ALOR GAJAH 1,"ALOR GAJAH, 78000 ALOR GAJAH, MELAKA",,78000,,,,,2.384678,102.2102
4265,21-04010231,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH RENDAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH KEBANGSAAN SRI LAKSAMANA,"JALAN SRI LAKSAMANA, MASJID TANAH, 78300 MASJID TANAH, MELAKA",,78300,,,,,2.347115,102.1014
4266,21-04010251,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAAN SERI PENGKALAN,"ALOR GAJAH, 78000 ALOR GAJAH, MELAKA",,78000,,,,,2.425413,102.1919
4267,21-04010249,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAAN DATO' HAJI TALIB KARIM,"78000 ALOR GAJAH, MELAKA",,78000,,,,,2.388289,102.2126
4268,21-04010248,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,KLINIK PERGIGIAN,KLINIK PERGIGIAN SEKOLAH MENENGAH,KLINIK PERGIGIAN SEKOLAH D/A SEKOLAH MENENGAH KEBANGSAAAN DATO' DOL SAID,"JALAN DATOâ€™ DOL SAID, 78000 ALOR GAJAH, MELAKA",,78000,,,,,2.374408,102.2082
4269,91-04020106,BUKA,AWAM,KKM,,MELAKA,JASIN,PEJABAT KESIHATAN PERGIGIAN,PEJABAT KESIHATAN PERGIGIAN DAERAH,PEJABAT KESIHATAN PERGIGIAN DAERAH JASIN,"NO JKR 3309, KLINIK PERGIGIAN DAERAH JASIN, PEKAN JASIN, MELAKA",,77000,,,,,2.306941,102.4291
